Judul_Pekerjaan,Perusahaan,Lokasi,Jenis_Pekerjaan,Gaji,Kualifikasi_Keterampilan,URL_Target
SAP Business One Consultant - MNC IT Consulting,PT Trust Recruit Indonesia,Jakarta Raya,Full time,Dirahasiakan,"Manage end-to-end SAP Business One implementation projects, ensuring timely delivery and alignment with client requirements. | Conduct business requirement analysis by reviewing clients’ existing processes and systems, and provide recommendations for improvements leveraging SAP B1 features and functionalities. | Prepare comprehensive documentation of business requirement studies, including functional specifications and process flows. | Collaborate closely with in-house technical consultants to design and develop add-on solutions that meet customers’ operational and business needs. | Deliver user training and provide hands-on support to ensure effective system adoption and user competency. | Facilitate smooth project handover to the internal support team upon project completion. | Participate in ongoing training sessions conducted by senior consultants or project managers to stay updated on new SAP B1 features and technologies. | Minimum Bachelor Degree in related field. | Capable of independently handling and deploying small to medium-sized SAP Business One projects with minimal supervision. | Minimum 3 years of hands-on experience in SAP Business One implementation or deployment. | Willing to be relocated permanently to Singapore. | Fluent in English and Mandarin required.",https://id.jobstreet.com/id/job/91588480
"Data Analytics Sales Specialist, Google Cloud (English, Bahasa Indonesia)",Google,Jakarta Raya,Full time,World Class Benefits,"Bachelor's degree or equivalent practical experience. | 10 years of experience in sales or account management in enterprise software. | 5 years of sales experience promoting data analytics, data warehousing, or data management solutions. | Ability to communicate in English and Bahasa Indonesia fluently to engage with clients in the Indonesia market. | Experience with business intelligence front-end, data analytics middleware, or back-end data warehouse technologies. | Experience working with sales engineers and customer technical leads to build business cases for transformation and accompanying plans for implementation. | Understanding of data analytics technology stack (e.g., Hadoop/Spark, Columnar data warehouses, data streaming, extract, transform, and load, and data governance, predictive analytics, data science framework, etc.) | Understanding of Google Cloud data and analytics offerings (e.g., BigQuery, Looker, Dataproc, Pub/Sub). | Ability to engage and influence executive stakeholders as a business advisor and thought leader in data and analytics. | Excellent business acumen and problem-solving skills. | Calibrate business against Objectives and Key Results (OKRs), providing accurate forecasting and reporting for assigned territories while driving incremental revenue via cloud consumption models. | Serve as a data analytics Subject Matter Expert (SME), building C-suite relationships to influence long-term strategic direction and business impact. | Lead data analytics opportunities from discovery to closure, collaborating with cross-functional account teams to ensure successful project delivery for greenfield and existing accounts. | Build and manage a data and analytics pipeline through strategic account planning and Go-to-Market (GTM) initiatives with Google Cloud Platform partners. | Identify high-value use cases for Google Cloud data and analytics, articulating key differentiators and business outcomes to drive enterprise-wide adoption.",https://id.jobstreet.com/id/job/91542686
Fullstack Software Engineer,Nexta,Jakarta Raya,Kontrak/Temporer,Dirahasiakan,"Build technical solutions based on available requirement documents | Develop frontend software for Mobile Apps and Websites using React Native, React JS, Next JS, and TypeScript | Develop backend software using Node.js, XState, TypeScript, and Java Spring Boot | Develop report generation processes using Python | Maintain software and resolve issues that arise post-development | Maintain unit tests to meet the required coverage thresholds | Write efficient code and perform initial testing to ensure functionality | Collaborate with Solution Architects, QA, and stakeholders to ensure solutions meet expectations | Frontend: React JS, Next JS, React Native, TypeScript | Backend: Node.js, XState, TypeScript, Java Spring Boot | Reporting: Python | Experience in the banking industry is a plus | Experience with Micro Frontend architecture is a plus | Mid to Senior level engineers comfortable working across the full stack | Strong understanding of TypeScript across both frontend and backend | Ability to write clean, testable, and maintainable code | A collaborative mindset with good communication skills",https://id.jobstreet.com/id/job/91562989
System Analyst,Yayasan Bina Nusantara,"Jakarta Barat, Jakarta Raya",Full time,Dirahasiakan,"Minimum Bachelor Degree in Computer Studies / IT | Minimum 2-4 years experience in similar position/ Fresh Graduate | Have experience in Business Process Management, System Analyst, QA or IT Project Management",https://id.jobstreet.com/id/job/91551459
Data Science Lead,Pengiklan Anonim,Jakarta Raya,Full time,Dirahasiakan,"Lead the design, implementation, and optimization of our enterprise-level Data Warehouse from scratch or through migration from legacy systems. | Architect and maintain robust ETL pipelines, ensuring data quality, availability, and scalability. | Implementdata governanceframeworks across the organization. | Manage cross-functional data projects usingAgile/Scrummethodologies, ensuring timely delivery and clear communication. | Drive cloud data platform adoption (e.g., AWS, Google BigQuery) and optimize data workflows for near real-time analytics. | Holds a Bachelor’s degree in Computer Science, Software Engineering, or a related field. | Has3+ yearsof experience in Data Engineering. | Proven track record inData Warehouse architecture,ETL design, anddata quality management. | Experienced inData GovernanceandPersonally Identifiable Information Protection | Strong programming skills inSQLandPython; familiarity with C/C++, Java is a plus. | Hands-on experience with analytical tools (Tableau, DBT, Airflow) and cloud platforms (AWS, Google BigQuery). | Exceptional skills in query optimization, process automation, and data governance SOP development. | Demonstrated ability to bridge technical and business teams, ensuring alignment on data strategy.",https://id.jobstreet.com/id/job/91554536
SAP B1 Consultant - IT Software (Remote/Singapore),PT Trust Recruit Indonesia,Jakarta Raya(Jarak jauh),Full time,Dirahasiakan,"SAP Business One project management. | Conduct business requirements studies, review clients' existing systems and provide recommendations and Improvements based on features and functions in SAP B1. | Documentation of business requirement studies. | Collaborate with in-house technical consultant to design add-on solutions to fulfil customers business and operation requirements. | Conduct customer training and handholding to enable users’ skill in navigating and using the systems effectively. | Upon project completion, hand over to in-house support team. | Attending training provided by senior consultants/project manager whenever new features and technology are available for SAP B1. | Having minimum 2 years of deployment experience in SAP B1. | Able to deploy small-medium size project. | Ability to provide user training. | Must able to communicate in English and Mandarin. | Willing to relocate to Singapore.",https://id.jobstreet.com/id/job/91525897
DevSecOps Engineer – Container Security (Project-Based),PT Citra Multi Services,Jakarta Raya,Kontrak/Temporer,Dirahasiakan,"Implement security across the container lifecycle (build, ship, run) | Perform image hardening and vulnerability scanning | Integrate security tools (SAST, DAST, container scanning) into CI/CD pipelines | Establish automated security gates in deployment pipelines | Secure Kubernetes environments (RBAC, network policies, pod security) | Manage secrets (Vault/KMS) and container registries securely | Conduct vulnerability assessments and ensure compliance (CIS, OWASP, NIST) | Monitor security events, analyze logs, and handle incident response | Collaborate with DevOps/Engineering teams and promote security best practices | Bachelor’s degree in Computer Science, Engineering, or related field | 2–3 years of experience in DevOps/DevSecOps | Hands-on experience with Docker/Podman and Kubernetes/OpenShift | Familiar with CI/CD tools (GitLab CI, Jenkins, GitHub Actions) | Experience with security tools (Trivy, Clair, Anchore, SAST/DAST) | Strong understanding of Linux systems and networking | Experience with Kubernetes security tools (Falco, Kyverno, OPA Gatekeeper) | Knowledge of secrets management (HashiCorp Vault) | Familiarity with SIEM/logging tools (ELK, Splunk)",https://id.jobstreet.com/id/job/91526098
SALES KANVAS,PT Omegaindo Perkasa,"Jakarta Utara, Jakarta Raya",Full time,Rp 3.500.000 – Rp 5.000.000 per month,"Mengidentifikasi dan mengembangkan prospek baru melalui strategi pemasaran yang efektif | Membangun dan mempertahankan hubungan yang kuat dengan pelanggan saat ini untuk mendorong penjualan ulang dan peluang bisnis baru | Memahami kebutuhan pelanggan dan menawarkan solusi produk yang sesuai | Mencapai atau melampaui target penjualan yang ditetapkan | Memastikan kepuasan pelanggan dengan memberikan layanan pelanggan yang unggul | Berkolaborasi dengan tim internal untuk mempromosikan produk dan layanan perusahaan | Memiliki pengalaman lebih di minati / non pengalaman | Kemampuan komunikasi yang sangat baik, baik secara lisan maupun tertulis | Keterampilan presentasi yang kuat dan kemampuan untuk membujuk dan meyakinkan pelanggan | Pemahaman yang baik tentang tren pasar, produk, dan layanan teknologi terkini | Kemampuan untuk bekerja dalam tim dan berkolaborasi dengan berbagai pemangku kepentingan | Berorientasi pada hasil, berdedikasi, dan bersemangat untuk mencapai target penjualan | memiliki kendaraan pribadi ( motor ) | Gaji kompetitif , insentip, komisi | Bpjs ketenagakerjaan | Uang sewa motor dan parkir ( di tanggung perusahaan )",https://id.jobstreet.com/id/job/91347926
Network Management Staff,PT Global Jet Express,"Jakarta Barat, Jakarta Raya",Full time,Dirahasiakan,"Prepare and update daily shipment reports for ongoing deliveries | Monitor shipment status and follow up with agents/areas for delayed or problematic deliveries | Identify and report shipment issues (e.g., delays, damage, loss) to the relevant team | Verify delivery accuracy and investigate discrepancies when needed | Support investigation processes, including reviewing CCTV for problematic shipments | Assist agents/areas with delivery issues and ensure proper resolution and escalation | Analyze delivery performance and generate reports (e.g., remote area analysis) | Communicate SOP and ensure compliance across agents/areas | Coordinate with internal teams to resolve operational and system-related issues | Bachelor’s degree (S1), any major | Proficient in Microsoft Office (Excel, Word, PowerPoint) | Detail-oriented, responsive, and able to work under pressure | Willing to work overtime, including weekends or public holidays when required",https://id.jobstreet.com/id/job/91502699
Scrum Master for Banking Industry (Prefer ASAP - WFO Jakarta Area),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),"Jakarta Selatan, Jakarta Raya",Full time,Dirahasiakan,,https://id.jobstreet.com/id/job/91316367
Security Implementation Engineer,PT Nusantara Compnet Integrator,"Jakarta Barat, Jakarta Raya",Full time,Dirahasiakan,"Perform project implementation and maintenance of security related area (Post Sales) | Supervise and assist subcontractor work for projects involving multiple contractor | Knowledge transfer/training for customer regarding the implemented project | Achieve certification required by company | Assist Pre sales team in technical design consultation and POC implementation | Skill sharing with other fellow engineer | Develop and mentor junior engineer or trainee | Bachelor’s degree in Computer Science, Computer Systems, Information Systems, or Informatics Engineering | Minimum 2 years of experience as a System Security Engineer | Hands-on experience in implementing FortiGate, Check Point, Palo Alto, and Cisco security products | Holding one or more of the following certifications is an advantage: PCNSE, CCNA/CCNP Security, NSE 4/5/7 | Good communication skills in English | Ability to work independently as well as collaboratively within a team",https://id.jobstreet.com/id/job/91343949
Account Executive,PT Digital Mediatama Maxima Tbk.,"Jakarta Selatan, Jakarta Raya",Full time,Dirahasiakan,"Identify and developnew business opportunities(B2B clients such as companies, schools, government, etc.) | Manage and growexisting customer accounts | Promote and Sell IT products (hardware, software, and IT solutions) | Understand client needs and provideappropriate IT solutions | Preparequotations, proposals, and contracts | Negotiate pricing and close sales to meet or exceed targets | Coordinate with internal teams for order fulfillment | Monitor market trends, competitors, and product updates | Min4 years in sales (preferably IT products, hardware/software, or B2B sales) | Good knowledge of IT products & Solutions | Ability to explain technical products in a simple way to clients | Strong communication and negotiation skills | Sales-driven and target-oriented mindset | Good presentation skills | Willing to work in the field (client visits) | Able to work under pressure and meet deadline",https://id.jobstreet.com/id/job/91346449
Information Technology Business Partner,Kawan Lama Group,Jakarta Raya,Full time,Dirahasiakan,"Serve as the primary liaison between business teams (Sales, Marketing, Operations, Partners) and IT | Understand business needs and translate them into scalable solutions within Salesforce and B2B platforms | Manage and enhance CRM (Salesforce) and B2B systems such as partner portals, ordering platforms, or distributor systems | Identify opportunities for process optimization, automation, and digital transformation | Lead or support system implementations, upgrades, and integrations (ERP, CRM, APIs, middleware) | Ensure data consistency, system reliability, and security compliance across platforms | Collaborate with developers, vendors, and system integrators | Define and manage product backlogs, prioritize enhancements, and align with business goals | Support user adoption through training, documentation, and change management | Monitor system performance and recommend continuous improvements | Bachelor’s degree in IT, Information Systems, or related field | 5+ years of experience in IT Business Partner, Business Analyst, or similar roles | Hands-on experience with Salesforce (administration, configuration, or business analysis) | Experience working with B2B systems (e.g., partner portals, e-commerce, order management systems) | Strong understanding of end-to-end business processes (sales, distribution, supply chain) | Experience in requirements gathering, stakeholder management, and solution delivery | Knowledge of system integration (APIs, ETL, middleware)",https://id.jobstreet.com/id/job/91594327
"Software Engineer, Backend - Transaction Platform",PT Solusi Transportasi Indonesia,"Kebayoran Lama, Jakarta Raya",Full time,Dirahasiakan,"Design and write using the latest GO language to enhance the availability, scalability, latency, and efficiency of Grab's services | Participate in code and design reviews to uphold Grab's development standards. | Contribute to service capacity planning, software performance analysis, tuning, and optimization. | Collaborate with other engineering teams to create new designs and architectures focused on scale and performance. | Work with product and experience teams to define and prototype feature specifications. Partner with the infrastructure team to build back-end services and conduct cause analysis. | Responsible for designing, building, analyzing, and fixing large-scale systems.- Debug and modify complex production software | Degree in Computer Science, Software Engineering, IT, or related fields. | Minimum 1 year of Software Engineering experience. | Strong fundamentals in algorithms and data structures. | Understanding of system performance and scaling. | Proficient in any programming language, with a willingness to work in Golang. | Passionate about building products and features to drive business growth. | Experience in software systems for delivery or order management. | Familiarity with Golang, Redis, MySQL, DynamoDB, and Elasticsearch on AWS with auto-scaling | Experience with GitLab for code repository and Continuous Delivery practices using tools like GitLab CI, DataDog, and Kibana. | We have your back withTerm Life Insuranceand comprehensiveMedical Insurance. | WithGrabFlex,create a benefits package that suits your needs and aspirations. | Celebrate moments that matter in life with loved ones throughParentalandBirthday leave, and give back to your communities throughLove-all-Serve-all (LASA)volunteering leave | We have a confidentialGrabber Assistance Programmeto guide and uplift you and your loved ones through life's challenges. | Balancing personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours",https://id.jobstreet.com/id/job/91402404
Technical Consultant / Developer Apex - Salesforce CRM Software & Application,PT Harrisma Informatika Jaya,"Jakarta Barat, Jakarta Raya",Full time,Rp 18.000.000 – Rp 25.000.000 per month,"Designing Salesforce CRM Software solutions for customer needs. | Salesforce CRM Developer, serve as advisors for software deployment, implementation & integrations. | Develop and implement technical specifications for Salesforce CRM Software. | Implementation from proposal to delivery. | Supports the implementation from proposal to delivery. | Build Salesforce applications using Apex and Visualforce to meet documented business requirements and conform to design specifications. | Developing customized solutions within the Salesforce platform to support critical business functions. | Responsible for developing in Visualforce, Apex and other technologies to build customized solutions that support business requirements. | Troubleshoot technical issues related to Apex code, Lightning Components and Visualforce pages and LWC. | Solid Apex coding practices along with collaboration with dev team in conducting peer reviews. | Create/modify existing controllers, controller extensions, and triggers across all platforms. | Develop UI using Visualforce, JavaScript and jQuery. | Meet the timeline on delivering the development task. | Ensure all the development activities are completed according to the project timeline. | Works with cross functional IT and business teams to architect, design and develop solutions based on business requirements. | Identify areas of improvement in design, implementation, process, tooling, automated testing, SQA. | Create and execute unit and integration test plans, including writing test cases, creating test data, and documenting test results. | Ensure functionality is delivered per the SOW. Identify deviations and communicate to project leadership. | Follow all project standard operating procedures (SOP) related to time reporting, DevOps, reporting status, updating PM/ticketing  system for assignments, bugs, events, incidents, requests, changes, problems, etc. | Only who have experience at Apex will be processed, at least 2 or more years of Salesforce development experience as a Developer/Programmer. | Salesforce Developer or Architect Certification is a plus. | Must have historical and proven knowledge and practical application of Visualforce, APEX programming, and Web Services. | Experience working with Salesforce API’s and general connectivity/integration best practices, including implementation and maintenance of external sync agents developed in Java,  NodeJS, JavaScript, Python, or similar. | Experience with Lightning custom and out of the box components, SOQL or SQL and understanding of RDBMS concepts. | Experience with database software, platform as a Service solutions, integrating Salesforce with multiple internal applications & applying software development lifecycle methodologies to Salesforce development, including source code  control, automated testing, change management and promotion,  and secure management of test data. | Knowledge of general Web Services concepts such as SOAP, REST, HTTP etc. is a must. | Mastery of data types, algorithms, object-oriented programming. | Ability to multi-task and manage multiple projects at a time while paying attention to detail. | Able to communicate in English both oral and written is a must (active). | Willing to work in west Jakarta - Meruya & Puri area and assigned to customer office.",https://id.jobstreet.com/id/job/91541243
Presales HRIS,"PT. Metrodata Electronics, Tbk","Jakarta Barat, Jakarta Raya",Full time,Dirahasiakan,"Bachelor’s Degree (preferably in HR) or relevant work experience after bachelor. | Fluent in English (written and spoken) is a must. | 3–5 years of experience in HCM Consulting / Presales / Implementation. | Completed minimum 2 end-to-end implementation cycles of HCM applications, including requirements gathering, configuration, testing, and user enablement. | Strong understanding of HR processes and HCM modules (HCM, Talent, Absence, Recruiting, etc.). | Experience in value-based selling in an HCM consulting environment. | Proven ability to discover client pain points and propose solutions. | Proven ability to work and effectively communicate with C-level executives and line of business representatives. | Excellent presentation skills with the ability to deliver product demonstrations tailored to client needs. | Strong problem solving, critical thinking, and solutioning skills. | Strong business communication skills, both written and verbal. | Ability to translate complex technical concepts into clear business value. | Project management and prior consulting experience is an added advantage. | Working knowledge on Microsoft Project (MPP) is a plus. | Participate in discovery workshops with users to formulate and document business requirements, including business processes, procedures, and work practices. | Discover and understand complex enterprise requirements of the customer and architect the solution leveragingWorkday/Darwinboxcapabilities. | Develop and champion value-based solutions to client problems and communicate them with customers, implementation partners, and internal stakeholders. | Prepare for and conduct demonstrations ofWorkday/Darwinboxsolutions, including configuring demo environments based on client needs and scenarios. | Address functional and technical questions during demos and throughout the presales cycle. | Lead the development of value propositions and themes/messaging to customers in collaboration with the sales team. | Build value propositions and differentiators to strengthenWorkday/Darwinboxpositioning. | Lead or support RFP (Request for Proposal) processes, including solution overviews, implementation plans, and value-added services aligned with customer’s business initiatives. | Lead or support Proof of Concept (POC) activities, including configurations, execution of workshops, and ensuring coverage of client requirements. | Engage effectively with HR, IT, and C-level stakeholders during the presales cycle. | Present strategic recommendations for digital transformation aligned with HR and business goals. | Build business value cases in collaboration with prospects and internal teams. | Create documentation and presales materials such as process flows, functional descriptions, and presentations. | Stay updated onWorkday/Darwinboxfeatures, product roadmap, and industry best practices. | Build trusted-advisor relationships with key customer stakeholders during the evaluation process. | Collaborate with sales, product, implementation, and other internal teams to support presales activities.",https://id.jobstreet.com/id/job/91211732
IT Functional SAP & Business Analyst Specialist (FICO),PT ABC KOGEN DAIRY,Jakarta Raya,Full time,Dirahasiakan,"Act as the lead for the SAP FICO module, ensuring optimal system performance and alignment with business needs. | Identify issues and opportunities for improving business processes. | Gather and analyze business requirements from stakeholders. | Serve as a liaison between business stakeholders and the IT technical team. | Design solutions that align with the company’s strategic objectives. | Oversee the implementation of solutions and digital transformation projects. | Initiate and drive innovation to enhance business efficiency and effectiveness. | Bachelor’s degree in Informatics Engineering or a related field. | Minimum of 6 years of experience in a similar role. | Proven expertise in SAP FICO module. | Strong understanding of FMCG industry business processes. | Experience in configuring SAP modules, with a strong focus on FICO. | Knowledge of value stream mapping, lean thinking, and process reengineering. | Experience in managing BRD, FRD, and SRS documents in an end-to-end process. | Placement at Head Office in South Jakarta.",https://id.jobstreet.com/id/job/91525124
DevOps Engineer,AlphaPhilindo Solution Inc,Jakarta Raya,Full time,"Rp 9,000,000 – Rp 12,000,000 per month",,https://id.jobstreet.com/id/job/91506713
IT Cyber Security Officer,PT Kb Valbury Sekuritas,Jakarta Raya,Full time,Dirahasiakan,"Bachelor's degree in Cyber Security, computer science, information system or related field | Strong understanding of security standards such as ISO 27001, ISO 27002, NIST cyber security framework or equivalent | Preferably holds professional certifications such as CEH (Certified Ethical Hacker), CompTIA Security+, CISSP, CISM, ISO 27001 LA, or other relevant certifications | Experience using security tools and technologies | Experience conducting risk assessment and developing IT Security Mitigation Plans | High integrity, strong teamwork and collaboration skills. | Investigate and resolve security issues quickly and accurately | Monitor, detect, and respond to potential cyber threads | Design, implement, and enforce the company's internal security policies | Prepare technical reports on security issues and mitigation plans | Conduct Cyber Security awareness and training program for company employees",https://id.jobstreet.com/id/job/91438151
Senior Software Engineer,Kawan Lama Group,Jakarta Raya,Full time,Dirahasiakan,"Design, develop, and maintain robust web applications using Ruby on Rails | Lead technical architecture and system design decisions | Write clean, maintainable, and efficient code following best practices | Optimize application performance, scalability, and security | Collaborate with product managers, designers, and other engineers | Conduct code reviews and provide constructive feedback | Mentor and guide junior and mid-level developers | Integrate third-party APIs and services | Troubleshoot, debug, and upgrade existing systems | Participate in Agile/Scrum development processes | Bachelor’s degree in Computer Science, Software Engineering, or related field (or equivalent experience) | 5+ years of professional software development experience | 3+ years of hands-on experience with Ruby on Rails | Strong knowledge of Ruby, object-oriented programming, and design patterns | Experience with RESTful APIs and web services | Proficiency with databases such as PostgreSQL or MySQL | Familiarity with front-end technologies (JavaScript, HTML, CSS) | Experience with version control systems (e.g., Git) | Experience with cloud platforms (AWS, GCP, or Azure) | Knowledge of containerization tools like Docker | Familiarity with CI/CD pipelines | Experience with modern JavaScript frameworks (React, Vue.js) | Understanding of microservices architecture | Prior experience in a leadership or mentoring role",https://id.jobstreet.com/id/job/91594326
Functional Consultant Assc.,"PT. Metrodata Electronics, Tbk",Jakarta Raya,Full time,Dirahasiakan,"Evaluate, identify, and give recommendation regarding customer's application in order to provide the appropriate business solution; and compose it into business proposal, including conduct the presentation and/or demo system to customer | Perform the application implementation and ensure its process is in accordance with customer's needs and proposed timeline | Direct contact with customer to provide solutions to the problems that arise after implementation, as well as to seek the possibility to implement another development | Become a training instructor for customers in learning, understanding, and operation of the implemented software application in basic and advance trainings | Maintain and develop knowledge of specific application system technology",https://id.jobstreet.com/id/job/91567237
"SAP Consultant (Basis, ABAP, FI, Project Manager)",PT Astra Graphia Information Technology (AGIT),Jakarta Raya,Full time,Dirahasiakan,"Minimum 3–5 years of experience in SAP (depending on role) | Mandatory: Hands-on experience in SAP S/4HANA Upgrade projects | Strong understanding of business processes and SAP best practices | Good communication skills and able to work in a team | Willing to work full-time and support project timelines | Lead end-to-end SAP S/4HANA upgrade projects (planning to go-live & hypercare) | Manage governance, stakeholder communication, and reporting | Oversee risks, issues, and quality assurance | Coordinate SIT, UAT, and regression testing cycles | Ensure successful cutover and project delivery | Analyze business process impacts and adjust system configuration | Prepare functional specifications for enhancements or remediation | Support SIT/UAT with users and ensure solution quality | Validate Fiori apps and new S/4HANA functionalities | Support cutover activities and hypercare phase | Analyze and adapt custom code for S/4HANA compatibility | Develop reports, interfaces, enhancements, and OData services | Troubleshoot issues during build and testing phases | Ensure transport management and code quality | Support technical cutover activities | Execute SUM/DMO and manage system upgrade activities | Manage SAP landscape (DEV, QA, Sandbox, Production) | Troubleshoot HANA DB and system-related issues | Prepare cutover and fallback strategies | Provide support during hypercare phase",https://id.jobstreet.com/id/job/91513595
Account Manager (B2G) Jakarta,PT Dutakom Wibawa Putra (D~NET),Jakarta Raya,Full time,Dirahasiakan,"Memperkuat hubungan dengan pelanggan Bisnis to Goverment. | Meningkatkan penjualan melalui strategi pemasaran yang efektif. | Bertanggung jawab untuk mengelola hubungan dengan pelanggan, memastikan kepuasan pelanggan, serta menciptakan peluang penjualan baru. Keahlian dalam strategi penjualan, pemasaran, dan penjualan B2G akan menjadi keuntungan besar bagi kandidat yang tertarik. | Memiliki keterampilan dalam strategi penjualan, pemasaran, serta penjualan B2G | Dapat bekerja secara mandiri dan berkomunikasi dengan baik. | Pendidikan Minimal D3/S1 Semua Jurusan | Memiliki pengalaman 2 tahun di bidang internet service provider (ISP) atau Telekomunikasi | Memiliki pengalaman menangani klien di B2B/B2G | Memiliki pengalaman menjual solusi IT atau produk lain (menjadi nilai tambah) | Memiliki SIM A dan bisa mengendarai mobil | Bersedia di tempat kan di Head Office Jakarta",https://id.jobstreet.com/id/job/91416643
Mobile Application Security,PT Phincon,Jakarta Raya,Kontrak/Temporer,Dirahasiakan,"Minimum Bachelor's degree in Informatics Engineering, Computer Science, Information Systems, Electrical Engineering, or other IT-related fields. | Minimum 8 years of relevant experience. | Familiarity with operating systems such as Windows and Linux; knowledge of cloud-based systems (AWS, Azure, GCP) is a plus. | Understanding of network protocols and infrastructure, including TCP/IP, DNS, VPN, firewalls, and IDS/IPS. | Experienced in managing security applications such as vulnerability scanners, DLP, EDR, SIEM, Mobile App Shield, etc. (for this role, the focus is on Mobile App Shield). | Able to coordinate effectively with IT, security, and management teams. | Experienced in performing security product analysis or assessments. | Capable of creating and maintaining technical documentation and procedures. | Familiar with Jira Service for ticketing processes. | Strong analytical and communication skills; able to work both independently and in a team; willing to comply with BDI policies. | Background in infrastructure or cybersecurity. | Understanding of mobile app development languages such as Kotlin/Java (for Android) and Swift/Objective-C (for iOS). | Coordinate with IT, security, and management teams. | Monitor the performance and availability of security tools and respond to incidents. | Handle alerts and incidents detected by the tools. | Investigate and resolve technical or functional issues. | Provide both temporary workarounds and permanent fixes. | Document incidents and their resolutions. | Manage software updates and security patches. | Test and implement tool upgrades without disrupting operations. | Develop user guides and troubleshooting documentation. | Integrate security tools with other systems. | Provide data and reports for internal and external audits. | Develop disaster recovery plans (DRP) in coordination with internal and external teams. | Create technical documentation, SOPs, and tool performance reports.",https://id.jobstreet.com/id/job/91346765
Storage Engineer,Pengiklan Anonim,"Jakarta Pusat, Jakarta Raya",Full time,Rp 10.000.000 – Rp 15.000.000 per month,"Manage and monitor enterprise storage systems (SAN/NAS) in a banking environment | Perform installation, configuration, and optimization of storage infrastructure | Ensure high availability and reliability for critical banking systems | Implement and manage backup, restore, and disaster recovery processes | Troubleshoot performance, latency, and capacity issues | Ensure compliance with data security and regulatory standards | Collaborate with infrastructure, database, and application teams | Maintain accurate documentation and audit-ready reports | Bachelor’s degree in IT, Computer Science, or related field | Minimum 3 years of experience in Storage Engineer / Infrastructure role (preferably in banking or financial services) | Strong knowledge of SAN, NAS, RAID, and storage virtualization | Hands-on experience with enterprise storage solutions (Dell EMC, NetApp, HPE, etc.) | Familiar with backup solutions (Veeam, Veritas, or similar) | Strong understanding of High Availability (HA) and Disaster Recovery (DR) | Knowledge of data security standards and compliance in banking is a plus | Strong analytical thinking and problem-solving skills",https://id.jobstreet.com/id/job/91508011
SAP Successfactors,"PT. Metrodata Electronics, Tbk","Jakarta Barat, Jakarta Raya",Full time,Dirahasiakan,"Bachelor’s degree in Information Technology, Information Systems, or related field. | Minimum 4–5 years of experience as an SAP SuccessFactors Consultant. | Experience in at least 2 full cycle implementations. | Strong knowledge of one or more SAP SuccessFactors modules. | Good analytical thinking and problem-solving skills. | Strong communication skills, both technical and non-technical. | Proficient in English (spoken and written). | Implement and configure SAP SuccessFactors modules (e.g., Employee Central, Recruitment, Performance & Goals, Learning, Payroll, Compensation). | Gather and analyze business requirements from HR stakeholders and translate them into system solutions. | Conduct gap analysis between business needs and existing system capabilities. | Prepare functional specifications, system documentation, and project deliverables. | Perform unit testing, integration testing, and support User Acceptance Testing (UAT). | Provide training and support to end-users. | Troubleshoot and resolve system issues related to SAP SuccessFactors. | Collaborate with internal teams and external vendors for system enhancements. | Ensure ongoing system maintenance and continuous improvement.",https://id.jobstreet.com/id/job/91500529
DevOps / Infrastructure Engineer (Kubernetes Specialist),PT. JAGAD AMAN PRIMA,"Kelapa Gading, Jakarta Raya",Full time,Rp6.000.000 – Rp8.000.000 per month,"Kubernetes Lifecycle:Merancang dan melakukandeploymentKubernetes cluster secara mandiri dari tahap awal (bare metal atau cloud-based). | Cluster Maintenance:Melakukan pemeliharaan rutin,upgradeversi cluster, serta manajemennodedannamespace. | Optimization:Melakukan tuning performa cluster, manajemen sumber daya (Resource Quotas, Limits), dan memastikanHigh Availability(HA). | Infrastructure as Code (IaC):Mengelola infrastruktur secara otomatis menggunakan tools sepertiTerraformatauAnsible. | CI/CD Pipeline:Membangun dan mengoptimalkan pipeline automasi untuk mempercepat pengiriman perangkat lunak ke lingkungan produksi. | Monitoring & Logging:Mengimplementasikan sistem monitoring dan alerting yang kuat (sepertiPrometheus & Grafana) serta manajemen log (sepertiELK StackatauLoki). | Security:Memastikan keamanan cluster melalui implementasiRole-Based Access Control(RBAC),Network Policies, dan manajemenSecret. | K8s Expert:Pengalaman mendalam dalam mengelolaKubernetes(In-depth knowledge of Pods, Services, Ingress, Persistent Volumes, dan Helm Charts). | Containerization:Ahli dalam pembuatan dan optimasiDockerimages. | Cloud Native Tools:Terbiasa denganservice mesh(seperti Istio/Linkerd) danIngress Controllers(Nginx/Traefik). | Cloud Provider:Berpengalaman mengelola infrastruktur di AWS, Google Cloud (GKE), atau Azure (AKS). | Linux Server:Kemampuan administrasi sistem Linux yang sangat kuat (Ubuntu/CentOS/Debian). | Scripting:Mahir dalam bahasa scripting sepertiBash, Python,atauGountuk kebutuhan otomasi. | Pendidikan minimal S1 di bidang Teknik Informatika atau terkait. | Pengalaman minimal 3-4 tahun sebagai DevOps Engineer atau Site Reliability Engineer (SRE). | Memiliki sertifikasiCKA (Certified Kubernetes Administrator)akan menjadi nilai tambah yang sangat besar. | Memiliki pola pikir analitis dalam melakukantroubleshootingpada level infrastruktur yang kompleks. | Mampu bekerja secara mandiri maupun kolaboratif dalam lingkungan yang cepat.",https://id.jobstreet.com/id/job/91400531
