role_category,source_skill,target_skill,weight
AI / Machine Learning Engineer,hadoop,sql,45
AI / Machine Learning Engineer,java,kubernetes,45
AI / Machine Learning Engineer,java,sql,45
AI / Machine Learning Engineer,ai,gcp,44
AI / Machine Learning Engineer,gcp,sql,42
AI / Machine Learning Engineer,hadoop,tensorflow,42
AI / Machine Learning Engineer,kubernetes,sql,42
AI / Machine Learning Engineer,azure,docker,41
AI / Machine Learning Engineer,docker,gcp,40
AI / Machine Learning Engineer,ai,nlp,39
AI / Machine Learning Engineer,aws,nlp,39
AI / Machine Learning Engineer,ai,artificial intelligence,38
AI / Machine Learning Engineer,ai,docker,38
AI / Machine Learning Engineer,ai,git,38
AI / Machine Learning Engineer,ci/cd,kubernetes,38
AI / Machine Learning Engineer,docker,git,37
AI / Machine Learning Engineer,docker,java,37
AI / Machine Learning Engineer,hadoop,java,37
AI / Machine Learning Engineer,hadoop,kubernetes,37
AI / Machine Learning Engineer,agile,git,36
AI / Machine Learning Engineer,c++,computer vision,36
AI / Machine Learning Engineer,c/c++,machine learning,36
AI / Machine Learning Engineer,c/c++,python,36
AI / Machine Learning Engineer,git,pytorch,36
AI / Machine Learning Engineer,hadoop,pytorch,36
AI / Machine Learning Engineer,linux,pytorch,36
AI / Machine Learning Engineer,agile,scrum,35
AI / Machine Learning Engineer,artificial intelligence,docker,35
AI / Machine Learning Engineer,c++,java,35
AI / Machine Learning Engineer,deep learning,java,35
AI / Machine Learning Engineer,git,kubernetes,35
AI / Machine Learning Engineer,machine learning,scrum,35
AI / Machine Learning Engineer,python,scrum,35
AI / Machine Learning Engineer,ai,computer vision,34
AI / Machine Learning Engineer,ci/cd,docker,34
AI / Machine Learning Engineer,git,sql,34
AI / Machine Learning Engineer,git,tensorflow,34
AI / Machine Learning Engineer,linux,sql,34
AI / Machine Learning Engineer,artificial intelligence,kubernetes,33
AI / Machine Learning Engineer,aws,computer vision,33
AI / Machine Learning Engineer,aws,git,33
AI / Machine Learning Engineer,aws,hadoop,33
AI / Machine Learning Engineer,azure,nlp,33
AI / Machine Learning Engineer,deep learning,linux,33
AI / Machine Learning Engineer,agile,hadoop,32
AI / Machine Learning Engineer,ai,linux,32
AI / Machine Learning Engineer,artificial intelligence,java,32
AI / Machine Learning Engineer,ci/cd,java,32
AI / Machine Learning Engineer,docker,hadoop,32
AI / Machine Learning Engineer,linux,tensorflow,32
AI / Machine Learning Engineer,agile,kubernetes,31
AI / Machine Learning Engineer,azure,git,31
AI / Machine Learning Engineer,ci/cd,pytorch,31
AI / Machine Learning Engineer,computer vision,java,31
AI / Machine Learning Engineer,deep learning,git,31
AI / Machine Learning Engineer,agile,nlp,30
AI / Machine Learning Engineer,ai,c++,30
AI / Machine Learning Engineer,ci/cd,spark,30
AI / Machine Learning Engineer,git,linux,30
AI / Machine Learning Engineer,agile,docker,29
AI / Machine Learning Engineer,agile,linux,29
AI / Machine Learning Engineer,aws,ci/cd,29
AI / Machine Learning Engineer,azure,ci/cd,28
AI / Machine Learning Engineer,ci/cd,tensorflow,28
AI / Machine Learning Engineer,ai,cism,27
AI / Machine Learning Engineer,azure,computer vision,27
AI / Machine Learning Engineer,cism,machine learning,27
AI / Machine Learning Engineer,apache,machine learning,26
AI / Machine Learning Engineer,apache,python,26
AI / Machine Learning Engineer,artificial intelligence,computer vision,26
AI / Machine Learning Engineer,azure,scrum,26
AI / Machine Learning Engineer,data modeling,machine learning,26
AI / Machine Learning Engineer,deep learning,spark,26
AI / Machine Learning Engineer,jira,python,26
AI / Machine Learning Engineer,llm,machine learning,26
AI / Machine Learning Engineer,scrum,tensorflow,26
AI / Machine Learning Engineer,ai,ci/cd,25
AI / Machine Learning Engineer,apache,spark,25
AI / Machine Learning Engineer,etl,python,25
AI / Machine Learning Engineer,gcp,nlp,25
AI / Machine Learning Engineer,llm,python,25
AI / Machine Learning Engineer,nlp,sql,25
AI / Machine Learning Engineer,pytorch,scrum,25
AI / Machine Learning Engineer,agile,artificial intelligence,24
AI / Machine Learning Engineer,agile,ci/cd,24
AI / Machine Learning Engineer,ai,llm,24
AI / Machine Learning Engineer,c/c++,tensorflow,24
AI / Machine Learning Engineer,azure,hadoop,23
AI / Machine Learning Engineer,c/c++,pytorch,23
AI / Machine Learning Engineer,computer vision,kubernetes,23
AI / Machine Learning Engineer,kafka,python,23
AI / Machine Learning Engineer,artificial intelligence,spark,22
AI / Machine Learning Engineer,artificial intelligence,sql,22
AI / Machine Learning Engineer,aws,c++,22
AI / Machine Learning Engineer,ci/cd,sql,22
AI / Machine Learning Engineer,computer vision,docker,22
AI / Machine Learning Engineer,github,machine learning,22
AI / Machine Learning Engineer,github,python,22
AI / Machine Learning Engineer,kafka,machine learning,22
AI / Machine Learning Engineer,kotlin,python,22
